bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
"13,14,16,17,프로","13,14,16,17,프로",2,아이폰 17 프로,번개장터,394153402,"[미사용/새상품] 아이폰15 재고정리 할인 [13,14,16,17,프로]",70000,판매중,https://m.bunjang.co.kr/products/394153402
대여,대여,1,아이폰 17 프로,번개장터,392463017,[대여] 아이폰17 프로 렌탈 1일 단기,34800,판매중,https://m.bunjang.co.kr/products/392463017
"미개봉,새상품","미개봉,새상품",1,아이폰 17 프로,번개장터,376431303,"[미개봉,새상품]아이폰17프로 256G",1192000,판매중,https://m.bunjang.co.kr/products/376431303
S급/풀박스,S급/풀박스,1,아이폰 17 프로,번개장터,405527345,[S급/풀박스] 아이폰 17 프로 블루 티타늄 512GB,1990000,판매중,https://m.bunjang.co.kr/products/405527345
A급/풀박스,A급/풀박스,1,아이폰 17 프로,번개장터,405527520,[A급/풀박스] 아이폰 17 프로  512GB 판매 (배터리 100%),1890000,판매중,https://m.bunjang.co.kr/products/405527520
삽니다,삽니다,1,아이폰 17 프로,번개장터,405560334,[삽니다] 케이스티파이 리플케이스 아이폰 17프로 쇼크핑크,65000,판매중,https://m.bunjang.co.kr/products/405560334
아이폰 17프로,아이폰 17프로,1,아이폰 17 프로,번개장터,404522336,[아이폰 17프로] 어반소피스티케이션 피젯 베이비발레,70000,판매중,https://m.bunjang.co.kr/products/404522336
아이폰 17프로,아이폰 17프로,1,아이폰 17 프로,번개장터,404450098,[아이폰 17프로] 어반소피스티케이션 델리킷 보우 인 레드 리본케이스,131000,판매중,https://m.bunjang.co.kr/products/404450098
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382120598,"[할인특가/미사용]아이폰16프로 판매합니다 +13,14,15,17시리즈",780000,판매중,https://m.bunjang.co.kr/products/382120598
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382108713,"[할인특가/미사용]아이폰16 판매합니다 +13,14,15,17,프로시리즈",330000,판매중,https://m.bunjang.co.kr/products/382108713
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382112521,"[할인특가/미사용]아이폰17프로 판매합니다 +13,14,15,16시리즈",930000,판매중,https://m.bunjang.co.kr/products/382112521
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382107733,"[할인특가/미사용]아이폰15프로 판매합니다 +13,14,16,17시리즈",630000,판매중,https://m.bunjang.co.kr/products/382107733
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382106627,"[할인특가/미사용]아이폰15 판매합니다 +13,14,16,17,프로시리즈",230000,판매중,https://m.bunjang.co.kr/products/382106627
할인특가/미사용,할인특가/미사용,1,아이폰 17 프로,번개장터,382111366,"[할인특가/미사용]아이폰17 판매합니다 +13,14,15,16,프로시리즈",430000,판매중,https://m.bunjang.co.kr/products/382111366
아이폰 17프로,아이폰 17프로,1,아이폰 17 프로,번개장터,397384379,[아이폰 17프로] 어반소피스티케이션 피젯 케이스 블루,70000,판매중,https://m.bunjang.co.kr/products/397384379
삽니다,삽니다,1,아이폰 17 프로,번개장터,404716831,[삽니다] 아이폰17프로 카메라무음 대여(5/1~5/2),11111,판매중,https://m.bunjang.co.kr/products/404716831
삽니다,삽니다,1,아이폰 17 프로,번개장터,383749253,[삽니다] 아이폰17프로 256 512미개봉,1680000,판매중,https://m.bunjang.co.kr/products/383749253
가개통,가개통,1,아이폰 17 프로,번개장터,400029730,[가개통] 아이폰17 프로 / 1TB / 실버 / 배터리성능 100%,2330000,예약중,https://m.bunjang.co.kr/products/400029730
