keyword,platform,pid,name,cluster_product_name,price_numeric,status,link,cluster_name_text,tokenized_cluster_name_text,c1,c2,c3,c4,c5,c6,c7,c8
갤럭시,번개장터,410775980,가게정리) 갤럭시 a7 lite 17개 팔아요 (1개 판매완료),갤럭시 a7,70000,판매중,https://m.bunjang.co.kr/products/410775980,가게정리 갤럭시 a7 lite 17개,가게정리 갤럭시 a7 lite 17개,가게정리,갤럭시,a7,lite,17개,,,
갤럭시,번개장터,411852563,삼성 갤럭시탭 A7 LITE,갤럭시 a7,90000,판매중,https://m.bunjang.co.kr/products/411852563,갤럭시탭 a7 lite,갤럭시 탭 a7 lite,갤럭시,탭,a7,lite,,,,
갤럭시,번개장터,412017249,갤럭시탭A7,갤럭시 a7,95000,판매중,https://m.bunjang.co.kr/products/412017249,갤럭시탭 a7,갤럭시 탭 a7,갤럭시,탭,a7,,,,,
갤럭시,번개장터,412321516,갤럭시탭a7 10.4 와이파이 판매,갤럭시 a7,119000,판매중,https://m.bunjang.co.kr/products/412321516,갤럭시탭 a7 . 와이파이,갤럭시 탭 a7 와이파이,갤럭시,탭,a7,와이파이,,,,
갤럭시,번개장터,408053653,갤럭시 a7,갤럭시 a7,120000,판매중,https://m.bunjang.co.kr/products/408053653,갤럭시 a7,갤럭시 a7,갤럭시,a7,,,,,,
갤럭시,번개장터,412103198,갤럭시노트A7(급처),갤럭시 a7,120000,판매중,https://m.bunjang.co.kr/products/412103198,갤럭시노트 a7,갤럭시 노트 a7,갤럭시,노트,a7,,,,,
갤럭시,번개장터,412412726,겔럭시탭A7,갤럭시 a7,120000,판매중,https://m.bunjang.co.kr/products/412412726,겔럭시탭 a7,겔럭시 탭 a7,겔럭시,탭,a7,,,,,
갤럭시,번개장터,393660403,삼성 갤럭시탭 A7  다크그레이 SM-T500,갤럭시 a7,128000,판매중,https://m.bunjang.co.kr/products/393660403,갤럭시탭 a7 sm t500,갤럭시 탭 a7 sm t500,갤럭시,탭,a7,sm,t500,,,
갤럭시,번개장터,412113254,갤럭시탭 A7,갤럭시 a7,140000,판매중,https://m.bunjang.co.kr/products/412113254,갤럭시탭 a7,갤럭시 탭 a7,갤럭시,탭,a7,,,,,
갤럭시,번개장터,412042986,삼성전자 갤럭시탭 A7 팝니다 거의 새상품,갤럭시 a7,150000,판매중,https://m.bunjang.co.kr/products/412042986,전자 갤럭시탭 a7 거의,전자 갤럭시 탭 a7 거의,전자,갤럭시,탭,a7,거의,,,
갤럭시,번개장터,412450421,갤럭시탭a7   새것과동일,갤럭시 a7,150000,판매중,https://m.bunjang.co.kr/products/412450421,갤럭시탭 a7 새것과동일,갤럭시 탭 a7 새것과동일,갤럭시,탭,a7,새것과동일,,,,
갤럭시,번개장터,412319715,삼성 갤럭시탭 A7 셀룰러 WiFi 외관 깨끗,갤럭시 a7,310000,판매중,https://m.bunjang.co.kr/products/412319715,갤럭시탭 a7 셀룰러 wifi 외관,갤럭시 탭 a7 셀룰러 wi fi 외관,갤럭시,탭,a7,셀룰러,wi,fi,외관,
갤럭시,번개장터,402660881,갤럭시 A7 16기가,갤럭시 a7 16gb,39000,판매중,https://m.bunjang.co.kr/products/402660881,갤럭시 a7 16gb,갤럭시 a7 16gb,갤럭시,a7,16gb,,,,,
갤럭시,번개장터,398644963,갤럭시A7(2016) 16기가 화이트 무잔상 80246,갤럭시 a7 16gb,59000,판매중,https://m.bunjang.co.kr/products/398644963,갤럭시 a7 16gb,갤럭시 a7 16gb,갤럭시,a7,16gb,,,,,
갤럭시,번개장터,412023742,!!서브폰!! 갤럭시A7 화이트 16GB 03994 울산중고폰,갤럭시 a7 16gb,60000,판매중,https://m.bunjang.co.kr/products/412023742,서브폰 갤럭시 a7 16gb,서브폰 갤럭시 a7 16gb,서브폰,갤럭시,a7,16gb,,,,
갤럭시,번개장터,412023751,!!서브폰!! 갤럭시A7 화이트 16GB 03994 울산중고폰,갤럭시 a7 16gb,60000,판매중,https://m.bunjang.co.kr/products/412023751,서브폰 갤럭시 a7 16gb,서브폰 갤럭시 a7 16gb,서브폰,갤럭시,a7,16gb,,,,
갤럭시,번개장터,412034782,!!서브폰!! 갤럭시A7 화이트 16GB 03994 울산중고폰,갤럭시 a7 16gb,60000,판매중,https://m.bunjang.co.kr/products/412034782,서브폰 갤럭시 a7 16gb,서브폰 갤럭시 a7 16gb,서브폰,갤럭시,a7,16gb,,,,
갤럭시,번개장터,411523562,삼성 갤럭시 탭 A7 Lite 32기가 (wifi 모델),갤럭시 a7 32gb,65000,판매중,https://m.bunjang.co.kr/products/411523562,갤럭시 탭 a7 lite 32gb,갤럭시 탭 a7 lite 32gb,갤럭시,탭,a7,lite,32gb,,,
갤럭시,번개장터,409377501,삼성 갤럭시 탭 A7 WIFI 32GB SM-T500,갤럭시 a7 32gb,107000,판매중,https://m.bunjang.co.kr/products/409377501,갤럭시 탭 a7 wifi 32gb sm t500,갤럭시 탭 a7 wi fi 32gb sm t500,갤럭시,탭,a7,wi,fi,32gb,sm,t500
갤럭시,번개장터,411739828,갤럭시탭A7라이트 32GB WIFI 그레이 깨끗한기기 판매해요,갤럭시 a7 32gb,110000,판매중,https://m.bunjang.co.kr/products/411739828,갤럭시탭 a7 라이트 32gb wifi 한기기,갤럭시 탭 a7 라이트 32gb wi fi 한기기,갤럭시,탭,a7,라이트,32gb,wi,fi,한기기
갤럭시,번개장터,411663098,갤럭시탭A7 라이트 와이파이 32G,갤럭시 a7 32gb,120000,판매중,https://m.bunjang.co.kr/products/411663098,갤럭시탭 a7 라이트 와이파이 32gb,갤럭시 탭 a7 라이트 와이파이 32gb,갤럭시,탭,a7,라이트,와이파이,32gb,,
갤럭시,번개장터,411663330,갤럭시탭A7 라이트 와이파이 32G,갤럭시 a7 32gb,120000,판매중,https://m.bunjang.co.kr/products/411663330,갤럭시탭 a7 라이트 와이파이 32gb,갤럭시 탭 a7 라이트 와이파이 32gb,갤럭시,탭,a7,라이트,와이파이,32gb,,
갤럭시,중고나라,227336916,갤럭시A7 아주 깨끗해요 64g,갤럭시 a7 64gb,35000,판매중,https://web.joongna.com/product/227336916,갤럭시 a7 아주 해요 64gb,갤럭시 a7 아주 해요 64gb,갤럭시,a7,아주,해요,64gb,,,
갤럭시,중고나라,229241432,갤럭시 A7 (2018) 64gb,갤럭시 a7 64gb,50000,판매중,https://web.joongna.com/product/229241432,갤럭시 a7 64gb,갤럭시 a7 64gb,갤럭시,a7,64gb,,,,,
갤럭시,번개장터,410726689,LG 갤럭시A7 (A750N) 골드 64기가 (0061829),갤럭시 a7 64gb,54000,판매중,https://m.bunjang.co.kr/products/410726689,lg 갤럭시 a7 64gb,lg 갤럭시 a7 64gb,lg,갤럭시,a7,64gb,,,,
갤럭시,번개장터,371675289,갤럭시 A7(a750) 64g,갤럭시 a7 64gb,60000,판매중,https://m.bunjang.co.kr/products/371675289,갤럭시 a7 64gb,갤럭시 a7 64gb,갤럭시,a7,64gb,,,,,
갤럭시,번개장터,398814321,갤럭시탭 A7 64g 팝니다,갤럭시 a7 64gb,100000,판매중,https://m.bunjang.co.kr/products/398814321,갤럭시탭 a7 64gb,갤럭시 탭 a7 64gb,갤럭시,탭,a7,64gb,,,,
갤럭시,번개장터,322159475,갤럭시탭a7 64기가 lte 버전 판매,갤럭시 a7 64gb,110000,판매중,https://m.bunjang.co.kr/products/322159475,갤럭시탭 a7 64gb lte 버전,갤럭시 탭 a7 64gb lte 버전,갤럭시,탭,a7,64gb,lte,버전,,
갤럭시,번개장터,409539328,갤럭시탭 A7(SM-T500) 64기가 와이파이,갤럭시 a7 64gb,110000,판매중,https://m.bunjang.co.kr/products/409539328,갤럭시탭 a7 64gb 와이파이,갤럭시 탭 a7 64gb 와이파이,갤럭시,탭,a7,64gb,와이파이,,,
갤럭시,번개장터,409792684,갤럭시탭A7 64기가 블랙 (S급) / 0522,갤럭시 a7 64gb,120000,판매중,https://m.bunjang.co.kr/products/409792684,갤럭시탭 a7 64gb,갤럭시 탭 a7 64gb,갤럭시,탭,a7,64gb,,,,
